"podcast";"number";"date";"year";"month";"weekday";"duration";"title";"host";"guest";"category";"topic";"summary"
"Sophomore Lit";"19";2016-01-20;"2016";"January";"Wednesday";74.0833333333333;"Romeo and Juliet";"John McCoy";"Sharlene Wellington, Stuart Wellington";"Books";"Not provided";"Two co-hosts, alike in dignity, Sharlene Wellington and Stuart Wellington join in for a star-crossed discussion of William Shakespeare’s Romeo and Juliet. Can we possibly say anything new about the most famous play ever? Probably not, but we sure giggle a lot"
"Cartoon Cast";"5";2016-01-19;"2016";"January";"Tuesday";29.25;"Cover Yourself in Zombie Juice";"Christina Warren, Mikah Sargent";NA;"Not provided";"It’s like a modern Rocko’s Modern Life.";"We’re getting weird this week. Christina and Mikah dive into two of their favorite episodes of Regular Show and spend an inordinate amount of time talking about fast food and tomato soup"
"Robot or Not";"41";2016-01-18;"2016";"January";"Monday";1.1;"Burritos";"John Siracusa, Jason Snell";NA;"Not provided";"Sandwich or Not?";"This one seems to have gotten in by mistake"
"Unjustly Maligned";"45";2016-01-18;"2016";"January";"Monday";61.8;"David Bowie’s “Tin Machine” with Chris Mitchell";"Antony Johnston";"Chris Mitchell";"Music";"David Bowie’s “Tin Machine”";"To celebrate the late David Bowie’s extraordinary life and body of work, writer Chris Mitchell joins Antony to defend the artist’s short-lived and drastically misunderstood “Tin Machine” project"
"The Incomparable";"283";2016-01-17;"2016";"January";"Sunday";81;"The Stars Look Very Different Today";"Antony Johnston";"Erika Ensign, Dr. Drang, David J. Loehr";"Music";"Remembering David Bowie";"We celebrate the amazing life and career of David Bowie, from his stunningly varied music career (yes, including those collaborations with Queen, Mick Jagger, and Bing Crosby) to his film and theater roles. (And between Major Tom and the Spiders From Mars, who was more sci-fi than Bowie"
"Random Trek";"82";2016-01-15;"2016";"January";"Friday";49.8166666666667;"“The Omega Glory” (TOS) with Mikah Sargent";"Scott McNulty";"Mikah Sargent";"Not provided";"“The Omega Glory”";"Mikah Sargent, tech enthusiast and co-host of Integrate and the Incomparable’s own Cartoon Cast, joins Scott to discuss The Original Series’ “The Omega Glory” (S2E25). We learn why Star Trek is suitable entertainment for the very religious, despite the skimpy costumes and the devilish Spock, casual racism is explored, and we ponder why Kirk would know the Pledge of Allegiance. 

Next on Random Trek VOY’s Elogium (S2E4"
"Total Party Kill";"70";2016-01-13;"2016";"January";"Wednesday";57.9666666666667;"Ways to Not Be a Beetle";"Scott McNulty";"Dan Moren, Tony Sindelar, Erika Ensign, Georgia Dow, Jason Snell, Steve Lutz";"Not provided";"Eglath’s Angels, Part 24";"The elemental magic-users seem to have what they want—Regdar’s crown—so you’d think the fight would be over. But our adventurers don’t know how to take “no” for an answer! There’s a dramatic transformation and an epic run that will go down in legend and song"
"Sophomore Lit";"18";2016-01-13;"2016";"January";"Wednesday";102.4;"Stranger in a Strange Land";"John McCoy";"Jason Snell";"Books";"Not provided";"You asked for it. Oh, why did you ask for it? Jason Snell returns to discuss Robert A. Heinlein’s Stranger in a Strange Land, in a double-sized podcast that will take as long to listen to as the book does to read"
"Robot or Not";"40";2016-01-11;"2016";"January";"Monday";3.46666666666667;"Swimming Pool Cleaners";"John Siracusa, Jason Snell";NA;"Not provided";"C-3PO’s toaster oven";"Things that clean your swimming pool: are they Roombas or just dumb hoses? Also, if a toaster can’t be a robot, can a robot be a toaster"
"Bonus Track";"255b";2016-01-11;"2016";"January";"Monday";2.1;"Ziggy Played Guitar";"Steve Lutz, Philip Michaels";"Chip Sudderth, Lisa Schmeiser";"Not provided";"RIP David Bowie";"An impromptu David Bowie sing-along during a recording failure back in July 2015"
"TV Talk Machine";"66";2016-01-10;"2016";"January";"Sunday";47.4333333333333;"The Year of TV Muscles";"Tim Goodman, Jason Snell";NA;"Not provided";"2016 TCA winter press tour, part 1";"Tim is “in residence” in Pasadena for the Television Critics Association winter press tour. He takes time away from the grind to let Jason know about new stuff coming from ABC, The CW, TNT, TBS, HBO, WGN America, Sundance, Starz, BBC America, AMC, and A&E, among others"
"Lazy Doctor Who";"27";2016-01-10;"2016";"January";"Sunday";17.4666666666667;"The Dalek Invasion of Earth 1";"Erika Ensign, Steven Schapansky";NA;"Not provided";"K (1)";"Steven and Erika get back to classic Doctor Who right away and watch the second Dalek serial, from 1964.

See? We didn’t give up on classic Who! You can relax now"
"Lazy Doctor Who";"26";2016-01-10;"2016";"January";"Sunday";20.05;"Rose";"Erika Ensign, Steven Schapansky";NA;"Not provided";"1.01";"Yes, really! Erika and Steven watch and discuss the first episode of “new-Who”, “Rose” from 2005.

Why on Earth would we jump ahead 41 years? Well, you’ll have to listen to find out! We like to keep you guessing here at LDW HQ.

But never fear, there’ll be more classic Doctor Who coming at you soon. Or not-soon, depending on how lazy we are. But we’re not giving up on the good old days"
"The Incomparable";"282";2016-01-09;"2016";"January";"Saturday";111.283333333333;"Head Clara";"Jason Snell";"Erika Ensign, Glenn Fleishman, Steven Schapansky, David J. Loehr";"Shows";"“Doctor Who” series 9 wrap-up";"Jump in your TARDIS, visit the Space Lions, and get prepared for a 24-year-long night! This week our panel takes on the recently-concluded ninth series of “Doctor Who.” How does this season measure up to the previous ones? Was the more character-focused conclusion a good change of pace? How did Missy, Ashildr, and Clara make things feel a bit different? And how well did the show handle the moment when Clara faced the raven? This episode is bigger on the inside"
"Defocused";"79";2016-01-09;"2016";"January";"Saturday";99.7833333333333;"Notary Monkey";"Joe Rosensteel, Dan Sturm";NA;"Movies";"The Rundown";"What falls faster? A feather or a Jeep"
"Bonus Track";"282b";2016-01-09;"2016";"January";"Saturday";18.45;"Last Christmas";"Jason Snell";"Glenn Fleishman, Erika Ensign";"Not provided";"The Incomparable 282";"Discussion of the 2014 “Doctor Who” Christmas special one year on, plus a bunch of other “Doctor Who”-related outtakes from Glenn’s shockingly prolific Head Canon"
"Random Trek";"81";2016-01-08;"2016";"January";"Friday";116.233333333333;"“Star Trek IV: The Voyage Home” with David J. Loehr, Tony Sindelar, and Jason Snell";"Scott McNulty";"David J. Loehr";"Not provided";"“Star Trek IV: The Voyage Home”";"David J. Loehr, Tony Sindelar, and Jason Snell join Scott to discuss “Star Trek IV: The Voyage Home. That’s right, our first movie and it is a good one! You know the one, with the whales and the time travel and the colorful metaphors. Topics discussed include movies that start with the characters watching the previous movie, the shocking overlap between Vulcan and elven fashions, and why doesn’t Sulu do anything in this movie? 

Next on Random Trek: The Omega Glory (TOS S2E25"
"Lazy Doctor Who";"25";2016-01-08;"2016";"January";"Friday";20.3;"Planet of Giants 1-3";"Erika Ensign, Steven Schapansky";NA;"Not provided";"J (1-3)";"Steven and Erika start season two of classic Doctor Who by watching an entire 3-episode story, “Planet of Giants” from 1964. And yes, Erika is a bit sleepy again.

If you’ve been following along with the serial codes as we’ve listed them on the website, you’ll note the letter I was skipped. That’s because “I” looks too much like the number 1 and could have been confusing. Production code neepery FTW"
"Cartoon Cast";"4";2016-01-05;"2016";"January";"Tuesday";96.2666666666667;"Booby Trap Bodyguard";"Christina Warren, Mikah Sargent";NA;"Not provided";"Bob’s Burgers Special: Let’s Give’Em Something Shiitake ‘Bout Burger";"It had to happen eventually. Christina and Mikah chose their favorite episodes of Bob’s Burgers and spent an hour and a half dissecting them. Join them as they (over)analyze one of their all-time favorite ‘toons"
"Robot or Not";"39";2016-01-04;"2016";"January";"Monday";1.7;"Cars (from “Cars”)";"John Siracusa, Jason Snell";NA;"Not provided";"So who made the cars? And where are they?";"If the cars in Pixar’s “Cars” movies aren’t cars, what are they, and where did they come from"
"Unjustly Maligned";"44";2016-01-04;"2016";"January";"Monday";63.8;"“Andromeda” with Lisa Schmeiser";"Antony Johnston";"Lisa Schmeiser";"Shows";"“Andromeda”";"Happy new year! And to begin 2016, writer and SF lover Lisa Schmeiser joins Antony to discuss the all-but-forgotten “Andromeda”, and wonder just how much of it actually came from Gene Roddenberry’s pen"
"Defocused";"78";2016-01-04;"2016";"January";"Monday";19.1833333333333;"Defocused: 2015  Year in Review";"Joe Rosensteel, Dan Sturm";NA;"Not provided";"Looking back on Defocused in 2015";"Our 2015 Guests


Jason Snell
Anže Tomić
Aleen Simms
Glenn Fleishman


Starring: Dan Sturm

Edited Produced and Directed by: Joe Rosensteel"
"Bonus Track";"d78b";2016-01-04;"2016";"January";"Monday";5.1;"Who is Anne Pancakes?!";"Dan Sturm, Joe Rosensteel";NA;"Not provided";"Outtakes from the fake award show";"Outtakes from the fake award show. Total nonsense"
"Bonus Track";"d78";2016-01-04;"2016";"January";"Monday";19.1833333333333;"Defocused: 2015 Year in Review (explicit version)";"Dan Sturm, Joe Rosensteel";NA;"Not provided";"Looking Back on Defocused in 2015";"Our 2015 Guests


Jason Snell
Anže Tomić
Aleen Simms
Glenn Fleishman


Starring: Dan Sturm

Edited Produced and Directed by: Joe Rosensteel"
"The Incomparable";"281";2016-01-02;"2016";"January";"Saturday";157.216666666667;"I Love a Lot of Awful People - The Best of 2015";"Jason Snell";"Steve Lutz, Erika Ensign, Dan Moren, David J. Loehr, Glenn Fleishman, Monty Ashley";"Not provided";"The Best of 2015";"In this year-end review episode, our panelists discuss their favorite bits of entertainment from  2015. When that’s done, we review the top moments from The Incomparable in 2015, complete with clips—and a mysterious visitor"
"Bonus Track";"281b";2016-01-02;"2016";"January";"Saturday";7.81666666666667;"Once More For Safety";"Jason Snell";"Monty Ashley, Steve Lutz";"Not provided";"Radio Theater 0.6 live";"As referenced by Monty in our Best of 2015 episode, this is the second run-through of the “Rehearsing in the Zeppelin” sketch as recorded live"
"Lazy Doctor Who";"24";2016-01-01;"2016";"January";"Friday";32.4333333333333;"The Reign of Terror 6";"Erika Ensign, Steven Schapansky";NA;"Not provided";"H (6)";"Erika and Steven finish off their podcastey New Year’s Eve celebration by watching the final episode of the final story of Doctor Who’s first season (“The Reign of Terror” from 1964). This is the final of the three podcasts for this evening. One podcast ep for each DW ep!

They also ask each other some questions from Doctor Who Trivial Pursuit"
"Lazy Doctor Who";"23";2016-01-01;"2016";"January";"Friday";19.65;"The Reign of Terror 5";"Erika Ensign, Steven Schapansky";NA;"Not provided";"H (5)";"Steven and Erika continue to celebrate New Year’s Eve by watching the final story of Doctor Who’s first season, “The Reign of Terror” from 1964. This is the second of three podcasts for this evening. One podcast ep for each DW ep!

They also read some listener tweets"
"Lazy Doctor Who";"22";2016-01-01;"2016";"January";"Friday";26.6833333333333;"The Reign of Terror 4";"Erika Ensign, Steven Schapansky";NA;"Not provided";"H (4)";"Erika and Steven celebrate New Year’s Eve by watching the final story of Doctor Who’s first season, “The Reign of Terror” from 1964. This is the first of three podcasts for this evening. One podcast ep for each DW ep!

They also read some listener letters"
"TeeVee";"130";2015-12-31;"2015";"December";"Thursday";76.2333333333333;"The Expanse: S1E2-4 review";"Jason Snell";"Aleen Simms";"Not provided";"The Expanse season 1 episodes 2-4";"Our panel reconvenes to discuss the three most recent episodes of SyFy’s “The Expanse.” How’s the pacing? What’s the deal with the CGI animals and shots that go through air vents? And how does the show portray the balance of power between Earth, Mars, and the Belt"
"Total Party Kill";"69";2015-12-31;"2015";"December";"Thursday";57.7666666666667;"Epic Hat Destiny";"Scott McNulty";"Erika Ensign, Georgia Dow, Tony Sindelar, Dan Moren, Steve Lutz, Jason Snell";"Not provided";"Eglath’s Angels, Part 23";"The underground battle for Regdar’s crown has begun! And before it’s over, things are going to get tough for our adventurers"
"Afoot!";"3";2015-12-30;"2015";"December";"Wednesday";59.05;"Radio Mystery Shows";"Glenn Fleishman";"Monty Ashley, David J. Loehr";"Not provided";"Old-time scripted radio mystery programs";"From nearly the dawn of broadcast radio came scripted shows, and the biggest genre outside of soap operas were radio mysteries. Remarkably, these not only thrived across dozens and dozens of shows during radio’s heyday, but for decades beyond, into the 1980s. And podcasting has offered some new life, from Thrilling Adventure Hour to…The Incomparable Radio Theater. We discuss our favorite shows, some great episodes, how we grew up with radio mysteries, and where to find them, old and new"
